Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House
Muggle-born,4,9,7,3,4,0,1,10,Ravenclaw
Half-blood,7,7,5,1,1,7,8,1,Gryffindor
Pure-blood,6,9,2,2,3,6,5,7,Ravenclaw
Muggle-born,3,4,7,8,8,6,7,2,Slytherin
Pure-blood,2,4,8,7,1,3,6,7,Hufflepuff
Half-blood,2,3,2,9,9,10,7,2,Slytherin
Half-blood,3,2,2,9,8,6,9,6,Slytherin
Half-blood,7,3,9,5,3,5,7,4,Hufflepuff
Pure-blood,9,7,1,5,2,6,7,3,Gryffindor
Pure-blood,7,1,7,1,0,10,9,6,Gryffindor
Half-blood,9,5,2,5,1,8,9,6,Gryffindor
Half-blood,3,3,5,9,9,6,9,5,Slytherin
Pure-blood,6,10,7,2,1,5,2,7,Ravenclaw
Muggle-born,4,1,7,10,7,6,9,4,Slytherin
Muggle-born,6,2,1,9,8,7,8,1,Slytherin
Half-blood,6,2,7,5,5,3,2,1,Hufflepuff
Half-blood,8,1,6,5,3,5,10,3,Gryffindor
Pure-blood,1,4,7,7,4,4,7,6,Hufflepuff
Half-blood,6,7,7,9,7,7,9,3,Slytherin
Half-blood,1,5,10,2,4,4,5,2,Hufflepuff
Half-blood,9,1,6,2,3,6,8,1,Gryffindor
Pure-blood,7,4,4,3,3,8,7,7,Gryffindor
Muggle-born,7,7,6,7,10,5,10,2,Slytherin
Pure-blood,9,5,3,5,5,5,10,6,Gryffindor
Half-blood,1,7,5,10,8,8,8,2,Slytherin
Muggle-born,8,1,3,1,0,9,7,2,Gryffindor
Muggle-born,5,7,2,10,8,9,8,1,Slytherin
Half-blood,7,3,1,7,9,5,7,5,Slytherin
Pure-blood,6,10,5,4,2,5,5,8,Ravenclaw
Pure-blood,10,6,4,3,3,6,8,5,Gryffindor
Half-blood,6,8,4,1,4,2,6,9,Ravenclaw
Muggle-born,8,4,6,5,1,6,10,7,Gryffindor
Muggle-born,4,7,10,1,2,5,7,2,Hufflepuff
Half-blood,5,7,6,7,10,10,7,4,Slytherin
Half-blood,3,1,1,10,9,9,10,7,Slytherin
Pure-blood,4,7,10,6,1,1,3,5,Hufflepuff
Pure-blood,9,4,7,5,3,7,10,5,Gryffindor
Pure-blood,3,6,1,10,9,5,9,2,Slytherin
Pure-blood,6,4,7,7,2,3,6,2,Hufflepuff
Pure-blood,9,5,1,3,5,5,8,3,Gryffindor
Muggle-born,6,5,7,10,9,5,8,7,Slytherin
Muggle-born,7,6,6,2,0,8,10,2,Gryffindor
Muggle-born,7,3,8,5,1,5,1,4,Hufflepuff
Pure-blood,6,1,4,9,10,7,10,7,Slytherin
Muggle-born,6,8,7,4,4,3,5,10,Ravenclaw
Muggle-born,8,4,6,7,2,5,9,6,Gryffindor
Muggle-born,4,5,5,9,10,5,9,7,Slytherin
Muggle-born,10,5,3,1,2,8,8,6,Gryffindor
Muggle-born,5,6,8,2,2,7,5,2,Hufflepuff
Pure-blood,6,4,10,6,2,0,4,4,Hufflepuff
Half-blood,3,7,8,2,2,3,7,1,Hufflepuff
Muggle-born,1,7,6,10,9,6,10,2,Slytherin
Pure-blood,7,2,5,3,1,5,10,3,Gryffindor
Pure-blood,6,4,10,6,3,4,1,1,Hufflepuff
Half-blood,9,6,1,4,3,6,7,2,Gryffindor
Pure-blood,4,7,7,4,5,2,1,10,Ravenclaw
Muggle-born,3,5,4,8,10,5,10,5,Slytherin
Muggle-born,5,9,1,4,4,7,1,10,Ravenclaw
Pure-blood,4,7,5,1,3,4,3,10,Ravenclaw
Half-blood,10,4,5,7,5,10,9,3,Gryffindor
Half-blood,4,1,9,4,3,0,4,2,Hufflepuff
Pure-blood,5,1,10,1,1,2,7,5,Hufflepuff
Half-blood,9,7,4,3,0,9,9,7,Gryffindor
Half-blood,8,7,6,7,5,10,10,6,Gryffindor
Pure-blood,10,3,6,5,2,5,8,7,Gryffindor
Half-blood,9,5,1,6,2,5,10,4,Gryffindor
Half-blood,7,10,3,7,1,1,3,8,Ravenclaw
Pure-blood,7,3,2,7,8,6,7,7,Slytherin
Half-blood,5,10,5,3,3,5,7,10,Ravenclaw
Half-blood,5,6,10,4,4,6,2,4,Hufflepuff
Half-blood,7,1,10,5,3,0,3,3,Hufflepuff
